projected_draft_position,player_name,position,team,bye_week,passing_data,rushing_data,receiving_data,total_yards,projected_points,rushing_yards,receiving_yards,value
124,Jordan Addison,WR49,MIN,6,0,0.0,0.0,9,0.1,58,681,4.3
125,Antonio Gibson,RB44,NE,14,0,0.0,0.0,387,2.2,36,274,1.1
126,San Francisco 49ers,DST2,SF,9,--,--,--,--,--,--,--,--
127,Nick Chubb,RB45,CLE,10,0,0.0,0.0,652,4.7,15,102,0.5
128,Kansas City Chiefs,DST3,KC,6,--,--,--,--,--,--,--,--
129,Pittsburgh Steelers,DST4,PIT,9,--,--,--,--,--,--,--,--
130,Pat Freiermuth,TE13,PIT,9,0,0.0,0.0,0,0.0,50,512,3.7
131,New York Jets,DST5,NYJ,12,--,--,--,--,--,--,--,--
131,Jerry Jeudy,WR50,CLE,10,0,0.0,0.0,0,0.0,59,721,3.4
133,Jason Sanders,K1,MIA,6,--,--,--,--,--,--,--,--
133,Christian Watson,WR51,GB,10,0,0.0,0.0,27,0.2,50,688,4.6
135,Evan McPherson,K2,CIN,12,--,--,--,--,--,--,--,--
135,Luke Musgrave,TE14,GB,10,0,0.0,0.0,0,0.0,51,522,3.1
135,Brandon Aubrey,K3,DAL,7,--,--,--,--,--,--,--,--
138,Justin Tucker,K4,BAL,14,--,--,--,--,--,--,--,--
138,Tyler Allgeier,RB46,ATL,12,0,0.0,0.0,535,4.1,20,151,1.1
140,Green Bay Packers,DST6,GB,10,--,--,--,--,--,--,--,--
141,Ty Chandler,RB47,MIN,6,0,0.0,0.0,503,4.0,24,176,0.5
142,Hunter Henry,TE15,NE,14,0,0.0,0.0,0,0.0,46,529,3.8
143,Buffalo Bills,DST7,BUF,12,--,--,--,--,--,--,--,--
143,Houston Texans,DST7,HOU,14,--,--,--,--,--,--,--,--
145,Ka'imi Fairbairn,K5,HOU,14,--,--,--,--,--,--,--,--
146,Cam Little,K6,JAC,12,--,--,--,--,--,--,--,--
147,Harrison Butker,K7,KC,6,--,--,--,--,--,--,--,--
147,Jake Moody,K7,SF,9,--,--,--,--,--,--,--,--
149,Dalton Schultz,TE16,HOU,14,0,0.0,0.0,0,0.0,51,521,2.9
150,Los Angeles Chargers,DST9,LAC,5,--,--,--,--,--,--,--,--
151,Cade Otton,TE17,TB,11,0,0.0,0.0,0,0.0,49,502,3.5
152,Aaron Rodgers,QB20,NYJ,12,3529,23.3,10.7,59,1.4,0,0,0.0
152,Tyler Conklin,TE18,NYJ,12,0,0.0,0.0,0,0.0,51,505,3.0
154,Greg Joseph,K9,GB,10,--,--,--,--,--,--,--,--
155,Tampa Bay Buccaneers,DST10,TB,11,--,--,--,--,--,--,--,--
155,Keon Coleman,WR52,BUF,12,0,0.0,0.0,8,0.1,53,685,4.2
157,Xavier Legette,WR53,CAR,11,0,0.0,0.0,27,0.3,56,677,3.2
158,Matt Gay,K10,IND,14,--,--,--,--,--,--,--,--
159,Dallas Cowboys,DST11,DAL,7,--,--,--,--,--,--,--,--
159,Younghoe Koo,K11,ATL,12,--,--,--,--,--,--,--,--
161,Gabe Davis,WR54,JAC,12,0,0.0,0.0,7,0.1,45,727,4.8
162,Cincinnati Bengals,DST12,CIN,12,--,--,--,--,--,--,--,--
163,Cleveland Browns,DST13,CLE,10,--,--,--,--,--,--,--,--
164,Cole Kmet,TE19,CHI,7,0,0.0,0.0,0,0.0,46,503,3.6
165,Adonai Mitchell,WR55,IND,14,0,0.0,0.0,14,0.1,51,701,4.0
166,Geno Smith,QB21,SEA,10,3502,20.1,11.1,182,1.3,1,0,0.0
166,Tyler Bass,K12,BUF,12,--,--,--,--,--,--,--,--
168,Cairo Santos,K13,CHI,7,--,--,--,--,--,--,--,--
169,Jason Myers,K14,SEA,10,--,--,--,--,--,--,--,--
169,MarShawn Lloyd,RB48,GB,10,0,0.0,0.0,469,3.9,23,180,0.8
171,Matthew Stafford,QB22,LAR,6,3701,22.5,11.9,55,0.8,0,0,0.0
172,Blake Grupe,K15,NO,12,--,--,--,--,--,--,--,--
172,Cameron Dicker,K15,LAC,5,--,--,--,--,--,--,--,--
174,Chuba Hubbard,RB49,CAR,11,0,0.0,0.0,604,3.1,20,129,0.5
174,Josh Downs,WR56,IND,14,0,0.0,0.0,26,0.2,55,668,3.4
176,Chase McLaughlin,K17,TB,11,--,--,--,--,--,--,--,--
177,Indianapolis Colts,DST14,IND,14,--,--,--,--,--,--,--,--
177,Brett Maher,K18,LAR,6,--,--,--,--,--,--,--,--
179,Jake Bates,K19,DET,5,--,--,--,--,--,--,--,--
180,Jameson Williams,WR57,DET,5,0,0.0,0.0,40,0.4,48,684,3.7
181,Romeo Doubs,WR58,GB,10,0,0.0,0.0,6,0.1,49,618,5.4
182,Jake Elliott,K20,PHI,5,--,--,--,--,--,--,--,--
183,Khalil Shakir,WR59,BUF,12,0,0.0,0.0,23,0.2,49,681,3.8
184,Tyler Lockett,WR60,SEA,10,0,0.0,0.0,0,0.0,56,667,3.5
185,Bucky Irving,RB50,TB,11,0,0.0,0.0,549,3.4,21,139,0.5
186,Philadelphia Eagles,DST15,PHI,5,--,--,--,--,--,--,--,--
187,Detroit Lions,DST16,DET,5,--,--,--,--,--,--,--,--
188,Greg Zuerlein,K21,NYJ,12,--,--,--,--,--,--,--,--
188,Isaiah Likely,TE20,BAL,14,0,0.0,0.0,0,0.0,41,508,3.5
190,Matt Prater,K22,ARI,11,--,--,--,--,--,--,--,--
191,Ramiz Ahmed,K23,WAS,14,--,--,--,--,--,--,--,--
192,Chris Boswell,K24,PIT,9,--,--,--,--,--,--,--,--
193,Brandin Cooks,WR61,DAL,7,0,0.0,0.0,14,0.1,51,614,4.4
194,Cade York,K25,CLE,10,--,--,--,--,--,--,--,--
195,Adam Thielen,WR62,CAR,11,0,0.0,0.0,5,0.1,53,633,3.7
196,Las Vegas Raiders,DST17,LV,10,--,--,--,--,--,--,--,--
197,Jakobi Meyers,WR63,LV,10,0,0.0,0.0,13,0.1,55,630,3.4
198,T.J. Hockenson,TE21,MIN,6,0,0.0,0.0,0,0.0,46,470,2.9
199,Graham Gano,K26,NYG,11,--,--,--,--,--,--,--,--
200,Will Reichard,K27,MIN,6,--,--,--,--,--,--,--,--
201,Chicago Bears,DST18,CHI,7,--,--,--,--,--,--,--,--
202,Minnesota Vikings,DST19,MIN,6,--,--,--,--,--,--,--,--
203,Ja'Lynn Polk,WR64,NE,14,0,0.0,0.0,19,0.1,51,653,3.1
204,Seattle Seahawks,DST20,SEA,10,--,--,--,--,--,--,--,--
205,Derek Carr,QB23,NO,12,3537,20.9,10.4,68,0.5,0,0,0.0
206,Deshaun Watson,QB24,CLE,10,3203,19.1,12.1,225,1.8,0,4,0.0
207,Jacksonville Jaguars,DST21,JAC,12,--,--,--,--,--,--,--,--
207,Wil Lutz,K28,DEN,14,--,--,--,--,--,--,--,--
209,Atlanta Falcons,DST22,ATL,12,--,--,--,--,--,--,--,--
210,Chad Ryland,K29,NE,14,--,--,--,--,--,--,--,--
211,Miami Dolphins,DST23,MIA,6,--,--,--,--,--,--,--,--
212,Tennessee Titans,DST24,TEN,5,--,--,--,--,--,--,--,--
213,Noah Fant,TE22,SEA,10,0,0.0,0.0,0,0.0,43,459,2.6
214,Arizona Cardinals,DST25,ARI,11,--,--,--,--,--,--,--,--
215,New York Giants,DST26,NYG,11,--,--,--,--,--,--,--,--
216,Denver Broncos,DST27,DEN,14,--,--,--,--,--,--,--,--
216,Nick Folk,K30,TEN,5,--,--,--,--,--,--,--,--
218,Jonnu Smith,TE23,MIA,6,0,0.0,0.0,4,0.1,40,438,2.9
219,Ray Davis,RB51,BUF,12,0,0.0,0.0,496,3.3,16,114,0.5
220,Daniel Carlson,K31,LV,10,--,--,--,--,--,--,--,--
221,Eddy Pineiro,K32,CAR,11,--,--,--,--,--,--,--,--
222,Ben Sinnott,TE24,WAS,14,0,0.0,0.0,0,0.0,41,457,2.4
223,Will Levis,QB25,TEN,5,3208,17.0,10.3,186,2.2,0,0,0.0
224,Mike Williams,WR65,NYJ,12,0,0.0,0.0,0,0.0,48,557,4.0
225,Washington Commanders,DST28,WAS,14,--,--,--,--,--,--,--,--
226,New Orleans Saints,DST29,NO,12,--,--,--,--,--,--,--,--
227,Roschon Johnson,RB52,CHI,7,0,0.0,0.0,317,2.0,27,190,1.0
228,New England Patriots,DST30,NE,14,--,--,--,--,--,--,--,--
228,Braelon Allen,RB53,NYJ,12,0,0.0,0.0,503,2.5,17,111,0.4
230,Dameon Pierce,RB54,HOU,14,0,0.0,0.0,519,3.0,13,95,0.4
231,Juwan Johnson,TE25,NO,12,0,0.0,0.0,0,0.0,42,393,2.6
232,Bryce Young,QB26,CAR,11,3182,17.1,11.3,230,1.2,0,0,0.0
233,Dylan Laube,RB55,LV,10,0,0.0,0.0,307,1.4,29,215,0.8
233,Wan'Dale Robinson,WR66,NYG,11,0,0.0,0.0,34,0.3,53,526,2.4
235,Audric Estime,RB56,DEN,14,0,0.0,0.0,506,4.1,10,72,0.2
236,Will Shipley,RB57,PHI,5,0,0.0,0.0,343,2.3,24,171,0.5
237,Los Angeles Rams,DST31,LAR,6,--,--,--,--,--,--,--,--
238,Carolina Panthers,DST32,CAR,11,--,--,--,--,--,--,--,--
238,Dontayvion Wicks,WR67,GB,10,0,0.0,0.0,8,0.1,41,574,3.7
240,Mike Gesicki,TE26,CIN,12,0,0.0,0.0,0,0.0,40,379,2.4
241,Tyrone Tracy Jr.,RB58,NYG,11,0,0.0,0.0,348,2.3,22,160,0.6
242,Elijah Mitchell,RB59,SF,9,0,0.0,0.0,508,3.4,10,72,0.2
243,Kendre Miller,RB60,NO,12,0,0.0,0.0,427,2.8,15,116,0.5
244,Chigoziem Okonkwo,TE27,TEN,5,0,0.0,0.0,8,0.1,36,412,1.9
245,Alexander Mattison,RB61,LV,10,0,0.0,0.0,407,2.2,19,128,0.3
245,Khalil Herbert,RB61,CHI,7,0,0.0,0.0,491,3.8,9,62,0.1
247,Greg Dulcich,TE28,DEN,14,0,0.0,0.0,0,0.0,35,404,2.2
248,Darnell Mooney,WR68,ATL,12,0,0.0,0.0,0,0.0,41,568,3.2
249,Jaylen Wright,RB63,MIA,6,0,0.0,0.0,365,2.5,18,132,0.5
250,Demario Douglas,WR69,NE,14,0,0.0,0.0,23,0.2,44,525,2.7
251,Jahan Dotson,WR70,WAS,14,0,0.0,0.0,10,0.1,44,521,3.1
252,Tucker Kraft,TE29,GB,10,0,0.0,0.0,0,0.0,36,364,2.5
253,Ja'Tavion Sanders,TE30,CAR,11,0,0.0,0.0,5,0.0,37,346,2.3
254,Ricky Pearsall,WR71,SF,9,0,0.0,0.0,11,0.1,42,536,2.9
255,Keaton Mitchell,RB64,BAL,14,0,0.0,0.0,378,3.1,14,102,0.5
256,D'Onta Foreman,RB65,CLE,10,0,0.0,0.0,447,3.3,10,71,0.3
257,J.K. Dobbins,RB66,LAC,5,0,0.0,0.0,459,3.3,10,67,0.2
258,Kimani Vidal,RB67,LAC,5,0,0.0,0.0,337,2.0,18,145,0.7
259,Michael Wilson,WR72,ARI,11,0,0.0,0.0,8,0.1,41,516,3.0
260,Malachi Corley,WR73,NYJ,12,0,0.0,0.0,30,0.2,40,486,3.0
261,Daniel Jones,QB27,NYG,11,2477,13.6,9.6,371,2.8,0,4,0.0
262,Tyler Boyd,WR74,TEN,5,0,0.0,0.0,6,0.0,42,528,2.4
263,Michael Mayer,TE31,LV,10,0,0.0,0.0,0,0.0,34,355,1.9
264,J.J. McCarthy,QB28,MIN,6,2918,16.6,11.0,157,1.7,0,0,0.0
265,Jalen Tolbert,WR75,DAL,7,0,0.0,0.0,9,0.1,39,505,2.9
266,DJ Chark Jr.,WR76,LAC,5,0,0.0,0.0,0,0.0,41,471,3.2
266,Jermaine Burton,WR76,CIN,12,0,0.0,0.0,21,0.1,38,469,3.3
268,Demarcus Robinson,WR78,LAR,6,0,0.0,0.0,15,0.2,40,505,2.4
268,Elijah Moore,WR78,CLE,10,0,0.0,0.0,18,0.1,44,470,2.3
270,Roman Wilson,WR80,PIT,9,0,0.0,0.0,22,0.2,36,494,3.1
271,Bo Nix,QB29,DEN,14,3081,15.8,13.1,167,1.3,0,0,0.0
272,Dawson Knox,TE32,BUF,12,0,0.0,0.0,0,0.0,30,300,2.8
273,Jalen McMillan,WR81,TB,11,0,0.0,0.0,20,0.1,38,490,2.7
274,Tank Bigsby,RB68,JAC,12,0,0.0,0.0,342,2.8,12,79,0.3
275,Marvin Mims Jr.,WR82,DEN,14,0,0.0,0.0,25,0.3,37,476,2.3
276,Drake Maye,QB30,NE,14,2891,14.9,12.0,196,1.7,0,0,0.0
277,Quentin Johnston,WR83,LAC,5,0,0.0,0.0,4,0.1,39,444,2.8
278,Justice Hill,RB69,BAL,14,0,0.0,0.0,200,1.3,21,156,0.9
279,Jamaal Williams,RB70,NO,12,0,0.0,0.0,257,2.2,17,112,0.3
280,Justin Fields,QB31,PIT,9,1945,11.2,6.5,473,3.4,0,0,0.0
280,Donald Parham Jr.,TE33,LAC,5,0,0.0,0.0,0,0.0,27,291,2.4
282,Jelani Woods,TE34,IND,14,0,0.0,0.0,0,0.0,27,318,1.8
283,Luke McCaffrey,WR84,WAS,14,0,0.0,0.0,12,0.1,36,450,2.5
284,Deneric Prince,RB71,KC,6,0,0.0,0.0,312,2.5,11,80,0.3
285,Andrei Iosivas,WR85,CIN,12,0,0.0,0.0,10,0.1,38,415,2.7
286,Isaac Guerendo,RB72,SF,9,0,0.0,0.0,342,1.9,11,81,0.3
287,Daniel Bellinger,TE35,NYG,11,0,0.0,0.0,0,0.2,27,279,1.8
288,Greg Dortch,WR86,ARI,11,0,0.0,0.0,21,0.2,42,396,1.8
289,Brandon Powell,WR87,MIN,6,0,0.0,0.0,30,0.3,34,421,2.4
290,Isaiah Spiller,RB73,LAC,5,0,0.0,0.0,306,1.9,12,86,0.3
291,Hayden Hurst,TE36,LAC,5,0,0.0,0.0,0,0.0,27,287,1.7
292,Zach Ertz,TE37,WAS,14,0,0.0,0.0,0,0.0,27,281,1.6
293,Troy Franklin,WR88,DEN,14,0,0.0,0.0,11,0.1,32,465,2.1
294,Chris Rodriguez Jr.,RB74,WAS,14,0,0.0,0.0,379,2.4,5,36,0.2
294,Erick All,TE38,CIN,12,0,0.0,0.0,0,0.0,27,243,2.2
296,Jalin Hyatt,WR89,NYG,11,0,0.0,0.0,0,0.0,32,450,2.5
297,Odell Beckham Jr.,WR90,MIA,6,0,0.0,0.0,6,0.0,34,397,2.8
298,Javon Baker,WR91,NE,14,0,0.0,0.0,25,0.1,30,445,2.1
299,Tre Tucker,WR92,LV,10,0,0.0,0.0,54,0.3,30,415,1.9
300,Noah Gray,TE39,KC,6,0,0.0,0.0,4,0.0,25,253,1.8
